Wall time,Step,Value
1763182433.5039582,66068,-27.46455192565918
1763182441.436612,66118,-28.65317726135254
1763182468.2303133,66294,-23.51045036315918
1763182472.5459054,66323,-22.1450138092041
1763182478.8458529,66364,-14.419548988342285
1763182504.261291,66534,-30.93042755126953
1763182512.7070825,66590,-23.905057907104492
1763182524.7096295,66673,-36.51095199584961
1763182529.4828172,66706,-39.44078063964844
1763182550.2511163,66841,-21.00998306274414
1763182554.6777518,66871,-28.471939086914062
1763182558.836528,66897,-28.49053955078125
1763182587.8383663,67093,-21.492168426513672
1763182624.232212,67340,-24.03915023803711
1763182635.2796006,67415,-25.7442684173584
1763182649.6550415,67507,-20.076955795288086
1763182703.3917878,67865,-24.069177627563477
1763182705.3259106,67876,-21.516592025756836
1763182707.0288403,67886,-14.440585136413574
1763182721.7674541,67983,-27.44359016418457
1763182743.353378,68125,-28.25708770751953
1763182761.6129656,68250,-28.898761749267578
1763182777.2215958,68353,-27.7092342376709
1763182786.45234,68415,-28.848257064819336
1763182809.8938003,68568,-28.784461975097656
1763182822.4297354,68650,-20.085039138793945
1763182835.5656064,68740,-29.040283203125
1763182842.2208767,68784,-21.776941299438477
1763182874.2958474,68998,-25.224958419799805
1763182883.8372984,69065,-34.48387908935547
1763182907.8164854,69226,-23.35852813720703
1763182918.77924,69298,-22.237699508666992
1763182930.1661515,69377,-32.410865783691406
1763182938.658847,69433,-35.493797302246094
1763182940.988416,69449,-31.28573226928711
1763182965.2851121,69610,-23.390399932861328
1763182968.1972065,69631,-26.40624237060547
1763182992.015595,69789,-32.13453674316406
